Name,Date,Date Created,Description,Status,Subject,URL
Alle Aufgaben auf AB,"February 6, 2023","February 3, 2023 1:16 PM",,Done 🙌,Englisch,
Iserv Aufgabe (Haus zeichnen),"February 8, 2023","February 2, 2023 1:00 PM",,Done 🙌,Kunst,
Aufgabe 2 a & b,"February 8, 2023","February 2, 2023 12:59 PM",,Done 🙌,Deutsch,
Zirkel mitbringen und AB fertig machen (siehe Iserv),"February 9, 2023","February 7, 2023 5:41 PM",,Done 🙌,Physik,
Aufageb 3 & 4 mit Finn-Luka,"February 9, 2023","February 2, 2023 12:57 PM",,Done 🙌,PGW,
Aufgaben letzter Woche,"February 13, 2023","February 12, 2023 10:23 AM",,Done 🙌,Informatik,
Moodboard vorbereiten,"February 14, 2023","February 9, 2023 11:27 AM",,Done 🙌,Kunst,
Zeitstrahl machen,"February 14, 2023","February 9, 2023 11:26 AM",,Done 🙌,Kunst,
Vektoren,"February 15, 2023","February 12, 2023 10:23 AM",,Done 🙌,Mathe,
Aufgabe siehe Iserv Ordner,"February 17, 2023","February 16, 2023 6:01 PM",,Done 🙌,Englisch,
Handout und Arragement abgeben (4 Takte),"February 20, 2023","February 15, 2023 2:20 PM",,Done 🙌,Musik,
Text lesen,"February 21, 2023","February 16, 2023 10:14 PM",,Done 🙌,Philosophie,
"Aufgabe 1 u. 2 ","February 22, 2023","February 19, 2023 12:01 PM",,Done 🙌,Deutsch,
Aufgabe 1 auf dem Ab zu dem Lebenslauf,"February 23, 2023","February 22, 2023 11:41 AM",,Done 🙌,Deutsch,
Phonk Präsentation fertig machen,"February 27, 2023","February 22, 2023 8:13 PM",,Done 🙌,Musik,
Aufgabe 4,"February 27, 2023","February 20, 2023 10:30 AM",,Done 🙌,Seminar,
"Überlegen Sie, welcher Friedensbegriff in der öffentlichen Diskussion / in der Politik zugrunde liegt, wenn von “Friedenssicherung” oder Friedensverträgen” die Rede ist (siehe AB Seite 418)","February 28, 2023","February 23, 2023 9:32 AM",,Done 🙌,PGW,
Aufgaben siehe Email,"March 1, 2023","February 23, 2023 5:11 PM",,Done 🙌,Deutsch,
S. 298 f. #11 und #15,"March 3, 2023","March 1, 2023 1:10 PM",,Done 🙌,Mathe,
Aufgaben siehe E-Mail,"March 30, 2023","March 29, 2023 5:59 PM",,Done 🙌,Kunst,
Aufgaben Buch,"March 31, 2023","March 29, 2023 5:58 PM",,Done 🙌,Mathe,
Task in the description,"April 3, 2023","March 31, 2023 1:11 PM",,Done 🙌,Englisch,
Klausur,"April 6, 2023","March 30, 2023 2:09 PM",,Done 🙌,Physik,
Moodboard,"April 6, 2023","March 29, 2023 5:58 PM",,Done 🙌,Kunst,
Aufgaben siehe Email,"April 12, 2023","April 10, 2023 10:35 AM",,Done 🙌,Deutsch,
Klausurvorbereitung,"April 12, 2023","April 5, 2023 8:14 AM",,Done 🙌,Geographie,
Aufgaben 1-4 auf Seite 476,"April 13, 2023","April 6, 2023 9:31 AM",,Done 🙌,PGW,
Exam,"April 14, 2023","March 31, 2023 11:58 AM",,Done 🙌,Englisch,
Aufgabe 13 und 14,"April 21, 2023","April 19, 2023 12:10 PM",,Done 🙌,Mathe,https://moodle.ght-hh.de/mod/assign/view.php?id=12948
Informatik Aufgabe 2,"April 24, 2023","April 17, 2023 9:30 AM",,Done 🙌,Informatik,
PGW Klausur,"April 25, 2023","April 18, 2023 8:12 AM",,Done 🙌,PGW,
Podcast aufnehmen,"April 26, 2023","April 24, 2023 3:11 PM",,Done 🙌,Englisch,
S. 195 Nr. 7,"April 26, 2023","April 20, 2023 1:11 PM","Fontane fordert, dass der Dichter in seinen Werken die fiktive Welt so gestaltet, dass der Leser sie als wirkliche Welt wahrnimmt. Prüfen Sie, ob und inwieweit Raabe in seinem Gedicht ""Wenn über stiller Heide"" dieser Forderung gerecht wird.",Done 🙌,Deutsch,
S. 195 Nr. 6,"April 27, 2023","April 26, 2023 11:21 AM","Lesen Sie das Gedicht von Storm und verfassen Sie einen Kommentar zum Lebensgefühl und zur Weltsicht, die darin zum Ausdruck kommen.",Done 🙌,Deutsch,
Artikel lesen und wichtiges markieren,"May 2, 2023","April 27, 2023 9:29 AM",,Done 🙌,PGW,
Kraftzirkel Designen,"May 2, 2023","March 29, 2023 9:40 AM",,Done 🙌,Sport,
Aufgaben 1-5,"May 3, 2023","April 27, 2023 12:50 PM",,Done 🙌,Deutsch,
Diskusionsrunde vorbereiten,"May 4, 2023","May 3, 2023 11:36 AM",,To Do,Deutsch,
Klausurersatzleistung (Berufsfeld-Analyse),"May 10, 2023","March 29, 2023 9:35 AM",,To Do,Seminar,
Präsentation über Havestehude,"May 10, 2023","March 29, 2023 9:33 AM",,To Do,Geographie,
Klausur,"June 2, 2023","April 21, 2023 10:01 AM",,To Do,Mathe,
Chapter 1 Hangar,,"February 4, 2023 11:02 AM",,Done 🙌,Work,
E-Lad-O-Mat,,"February 4, 2023 11:00 AM",,Done 🙌,Work,
Glockenstuhl Vorbereitung,,"February 4, 2023 11:00 AM",,Done 🙌,Work,
